index,video_id,label_from_thumbnail_or_title,url,thumb_file
93,5uDhmuwlHoU,죽지 마세요 (브라이언 존슨),https://www.youtube.com/watch?v=5uDhmuwlHoU,artifacts/bzcf_thumbnails/thumbs/093_죽지 마세요 (브라이언 존슨).jpg
94,X7DhAAgsUHE,핸드폰 안합니다 (텔레그램 창업자),https://www.youtube.com/watch?v=X7DhAAgsUHE,artifacts/bzcf_thumbnails/thumbs/094_핸드폰 안합니다 (텔레그램 창업자).jpg
95,-tzXFnX92z8,타인의 욕망을 욕망한다 (피터 틸),https://www.youtube.com/watch?v=-tzXFnX92z8,artifacts/bzcf_thumbnails/thumbs/095_타인의 욕망을 욕망한다 (피터 틸).jpg
96,G3t1QxkfA8s,우리는 자유롭지 않다 (잭 도시),https://www.youtube.com/watch?v=G3t1QxkfA8s,artifacts/bzcf_thumbnails/thumbs/096_우리는 자유롭지 않다 (잭 도시).jpg
97,OqKCa7wlIDk,인바디 회장님 모셨습니다,https://www.youtube.com/watch?v=OqKCa7wlIDk,artifacts/bzcf_thumbnails/thumbs/097_인바디 회장님 모셨습니다.jpg
98,fd-bQUrQeAs,돈버는게 제일 쉬웠어요 (루시 구오),https://www.youtube.com/watch?v=fd-bQUrQeAs,artifacts/bzcf_thumbnails/thumbs/098_돈버는게 제일 쉬웠어요 (루시 구오).jpg
99,INwjjF4Uj34,텔레그램 창업자 (파벨 두로프),https://www.youtube.com/watch?v=INwjjF4Uj34,artifacts/bzcf_thumbnails/thumbs/099_텔레그램 창업자 (파벨 두로프).jpg
100,d3LKAUw1q4I,장기적 관점 (제프 베조스),https://www.youtube.com/watch?v=d3LKAUw1q4I,artifacts/bzcf_thumbnails/thumbs/100_장기적 관점 (제프 베조스).jpg
101,Ma74xdvZ5R8,돈보다 더 중요한 것 (텔레그램 창업자),https://www.youtube.com/watch?v=Ma74xdvZ5R8,artifacts/bzcf_thumbnails/thumbs/101_돈보다 더 중요한 것 (텔레그램 창업자).jpg
102,-lELIbg9R8Q,한글번역 | 일라이릴리 대표와 대화,https://www.youtube.com/watch?v=-lELIbg9R8Q,artifacts/bzcf_thumbnails/thumbs/102_한글번역 일라이릴리 대표와 대화.jpg
103,fpR-GJr8Rg0,지금이 마지막 (구글 딥마인드),https://www.youtube.com/watch?v=fpR-GJr8Rg0,artifacts/bzcf_thumbnails/thumbs/103_지금이 마지막 (구글 딥마인드).jpg
104,S5Irztv18tI,이건 안보면 손해 (제프 베조스),https://www.youtube.com/watch?v=S5Irztv18tI,artifacts/bzcf_thumbnails/thumbs/104_이건 안보면 손해 (제프 베조스).jpg
